Phase,Group,Sub-Group,Audit Type,Checklist Item,Importance,Mandatory,Implemented? (Yes / No),Comments,Evidence
Development,HTML Semantics & Structure,Semantics,Code Audit,Semantic-to-div ratio above threshold; pages with >70% generic containers (div/span) flagged,Critical,Yes,,,
Development,HTML Semantics & Structure,Semantics,Code Audit,Correct heading hierarchy maintained,Critical,Yes,,,
Development,HTML Semantics & Structure,Semantics,Code Audit,Single h1 per page where applicable,High,Yes,,,
Development,HTML Semantics & Structure,Structure,Code Audit,DOM source order matches visual tab order; no positive tabindex values; CSS order/flex-direction does not contradict DOM sequence,High,Yes,,,
Development,HTML Semantics & Structure,Structure,Code Audit,Page content hierarchy intact: headings and body text present in raw HTML source; critical content not injected solely via JavaScript; no content exclusively hidden via inline style or JS-only class toggling,High,Yes,,,
Development,HTML Semantics & Structure,Structure,Code Audit,Avoid excessive DOM depth,Medium,No,,,
Development,HTML Forms & Inputs,Forms,Code Audit,Radio/checkbox groups wrapped in fieldset with legend; forms with 3+ related inputs have grouping,High,Yes,,,
Development,HTML Forms & Inputs,Forms,Code Audit,All inputs have associated labels,Critical,Yes,,,
Development,HTML Forms & Inputs,Forms,Code Audit,Placeholder not used as label,High,Yes,,,
Development,HTML Forms & Inputs,Forms,Code Audit,Error messages programmatically associated with inputs via aria-describedby or aria-errormessage; error containers use role='alert' or aria-live='assertive'; error text is non-empty and >10 characters,Critical,Yes,,,
Development,HTML Forms & Inputs,Forms,Code Audit,Avoid inline styles,Medium,No,,,
Development,HTML Forms & Inputs,Forms,Code Audit,Accessible names for interactive elements,Critical,Yes,,,
Development,HTML Media & Data,Images,Code Audit,Images with role='presentation' or aria-hidden='true' have empty alt; standalone <img> without adjacent text and without alt flagged; hero/banner images verified to have non-empty alt >10 chars; <img> in decorative containers verified to have empty alt or role='presentation',High,Yes,,,
Development,HTML Media & Data,Images,Code Audit,Alt text is not a filename or path; not generic (image/photo/icon/picture/graphic/banner/logo without qualifier); between 5-125 characters; does not duplicate adjacent text content; does not begin with 'image of'/'picture of'/'photo of'; alt on linked images describes destination,Critical,Yes,,,
Development,HTML Media & Data,Tables,Code Audit,Tables use thead and tbody,High,Yes,,,
Development,HTML Media & Data,Tables,Code Audit,Table headers use th,High,Yes,,,
Development,HTML Media & Data,Lists,Code Audit,Lists use ul or ol correctly,High,Yes,,,
Development,HTML Metadata & Validation,Metadata,Code Audit,Page <title> exists; is >10 characters; not a default value (Untitled/Document/Home/Page/Website/Welcome); follows consistent pattern across site (e.g. 'Page - Site' or 'Page | Site' separator detected),Critical,Yes,,,
Development,HTML Metadata & Validation,Metadata,Code Audit,Meta viewport configured correctly,High,Yes,,,
Development,HTML Metadata & Validation,IDs,Code Audit,No duplicate IDs,Critical,Yes,,,
Development,HTML Metadata & Validation,Validation,Code Audit,No invalid HTML nesting,Critical,Yes,,,
Development,HTML Metadata & Validation,Validation,Code Audit,HTML validates without errors,Critical,Yes,,,
Development,HTML Metadata & Validation,ARIA,Code Audit,ARIA roles do not duplicate native semantics,High,Yes,,,
Development,HTML Metadata & Validation,ARIA,Code Audit,Avoid misuse of ARIA roles,High,Yes,,,
Development,HTML Metadata & Validation,ARIA,Code Audit,ARIA used only when necessary,Medium,No,,,
Development,HTML Metadata & Validation,Metadata,Code Audit,Meta tags do not block zoom,Medium,No,,,
Development,HTML Metadata & Validation,Links,Code Audit,No broken links (run broken-link-checker or linkinator CLI against local build or source HTML),High,Yes,,,
Development,CSS Architecture & Tokens,Design Tokens,Code Audit,CSS variables used for all colors,Critical,Yes,,,
Development,CSS Architecture & Tokens,Design Tokens,Code Audit,CSS variables used for spacing scale,High,Yes,,,
Development,CSS Architecture & Tokens,Design Tokens,Code Audit,CSS variables used for typography scale,High,Yes,,,
Development,CSS Architecture & Tokens,Design Tokens,Code Audit,No hardcoded hex/rgb color values,Critical,Yes,,,
Development,CSS Architecture & Tokens,Design Tokens,Code Audit,No hardcoded pixel spacing where tokens exist,High,Yes,,,
Development,CSS Architecture & Tokens,Maintainability,Code Audit,Consistent naming conventions,High,Yes,,,
Development,CSS Architecture & Tokens,Maintainability,Code Audit,Class names do not contain hex values or color names as identifiers; no purely positional names (left1/col2); BEM or project naming convention pattern enforced,High,Yes,,,
Development,CSS Architecture & Tokens,Maintainability,Code Audit,CSS selectors for same component co-located in same file; no duplicate selectors scattered across files; related rules grouped by component,Medium,No,,,
Development,Layout & Responsiveness,Layout,Code Audit,Layout containers use display:flex or display:grid; no float:left/right for multi-column layouts; no display:table for non-tabular content; absolute positioning in <5% of layout containers,Medium,Yes,,,
Development,Layout & Responsiveness,Responsive,Code Audit,min-width media queries outnumber max-width queries; base styles (outside media queries) target mobile viewport dimensions,Critical,Yes,,,
Development,Layout & Responsiveness,Responsive,Code Audit,Standard breakpoints only,High,Yes,,,
Development,Layout & Responsiveness,Responsive,Code Audit,Responsive images by default,High,Yes,,,
Development,Layout & Responsiveness,Layering,Code Audit,Avoid z-index escalation,Medium,No,,,
Development,Performance & Misc - CSS,Performance,Code Audit,Avoid expensive box-shadows,Medium,No,,,
Development,Performance & Misc - CSS,Performance,Code Audit,Avoid heavy CSS filters,Medium,No,,,
Development,Performance & Misc - CSS,Performance,Code Audit,No infinite CSS animations on non-loading elements; animation duration under 1s; total animation count per page within threshold,High,Yes,,,
Development,Performance & Misc - CSS,Compatibility,Code Audit,All CSS properties/values supported in target browsers (checked against caniuse compatibility data); no unprefixed experimental features without fallbacks,Critical,Yes,,,
Development,Performance & Misc - CSS,Compatibility,Code Audit,Avoid vendor prefixes unless required,Medium,No,,,
Development,Performance & Misc - CSS,Quality,Code Audit,No duplicated CSS rules,High,Yes,,,
Development,Performance & Misc - CSS,Quality,Code Audit,No unused CSS selectors,High,Yes,,,
Development,Performance & Misc - CSS,Quality,Code Audit,Consistent property ordering,Medium,No,,,
Development,JavaScript Architecture & Loading,Loading,Code Audit,No blocking scripts in head,Critical,Yes,,,
Development,JavaScript Architecture & Loading,Loading,Code Audit,Use async or defer appropriately,High,Yes,,,
Development,JavaScript Architecture & Loading,Loading,Code Audit,Third-party scripts lazy loaded,High,Yes,,,
Development,JavaScript Architecture & Loading,Loading,Code Audit,No JS files loaded on pages where their exports are unused; code-split bundles match route usage,High,Yes,,,
Development,JavaScript Architecture & Loading,Loading,Code Audit,No marketing tags in head,Medium,No,,,
Development,JavaScript Architecture & Loading,Loading,Code Audit,User-facing strings in component render/template functions reference i18n keys or constants; hardcoded display strings >3 words flagged,Medium,No,,,
Development,JavaScript Architecture & Loading,Loading,Code Audit,No binaries stored in repository,Medium,No,,,
Development,JavaScript Architecture & Loading,Loading,Code Audit,Error messages follow consistent pattern (checked via regex); no raw string throws; error constants or error classes used,Medium,Yes,,,
Development,JavaScript DOM & Performance Safety,DOM,Code Audit,Avoid tight DOM coupling,High,Yes,,,
Development,JavaScript DOM & Performance Safety,DOM,Code Audit,Avoid forced synchronous layouts,Critical,Yes,,,
Development,JavaScript DOM & Performance Safety,DOM,Code Audit,All setTimeout/setInterval calls have corresponding clear calls; timer count per file within threshold (max 3); no timers <100ms,High,Yes,,,
Development,JavaScript DOM & Performance Safety,DOM,Code Audit,setInterval for DOM/state checks flagged (suggest MutationObserver/IntersectionObserver/EventListener); polling intervals <1s flagged,High,Yes,,,
Development,JavaScript DOM & Performance Safety,DOM,Code Audit,Prefer native browser APIs,High,Yes,,,
Development,JavaScript DOM & Performance Safety,DOM,Code Audit,Modern ES6+ syntax used,Medium,Yes,,,
Development,JavaScript State & Reliability,Async,Code Audit,Avoid memory leaks,Critical,Yes,,,
Development,JavaScript State & Reliability,Async,Code Audit,Event listeners cleaned up properly,High,Yes,,,
Development,JavaScript State & Reliability,Async,Code Audit,Async logic uses async/await,High,Yes,,,
Development,JavaScript State & Reliability,Async,Code Audit,Promises handled correctly,High,Yes,,,
Development,JavaScript State & Reliability,State,Code Audit,State changes occur through defined setters/reducers/actions; no direct state object property mutations outside state management layer,High,Yes,,,
Development,JavaScript State & Reliability,State,Code Audit,No mutation of shared state,High,Yes,,,
Development,JavaScript State & Reliability,State,Code Audit,No side effects in pure functions,High,Yes,,,
Development,JavaScript State & Reliability,State,Code Audit,Consistent return types,Medium,No,,,
Development,JavaScript Code Structure & Hygiene,Structure,Code Audit,No global variables,Critical,Yes,,,
Development,JavaScript Code Structure & Hygiene,Structure,Code Audit,JS scoped to component or block,High,Yes,,,
