Phase,Group,Sub-Group,Audit Type,Checklist Item,Importance,Mandatory,Implemented? (Yes / No),Comments,Evidence
Accessibility,Accessibility - WCAG Core,WCAG Core,Browser Audit,Skip links implemented,High,Yes,,,
Security,Security - Client-Side Code,Scripts,Browser Audit,No inline scripts without nonce/hash (CSP compliant),Critical,Yes,,,
Security,Security - Forms & Input,Input,Browser Audit,Form actions use HTTPS only,Critical,Yes,,,
Performance,Performance - Asset & Delivery,Assets,Browser Audit,Lazy loading for below-the-fold images,High,Yes,,,
Performance,Performance - Asset & Delivery,Assets,Browser Audit,CSS delivery optimized,High,Yes,,,
Performance,Performance - Asset & Delivery,Assets,Browser Audit,Unused JS removed,High,Yes,,,
Development,HTML Metadata & Validation,Metadata,Browser Audit,Meta description tag present on all pages; content between 50-160 characters; not a default placeholder value (e.g. 'description' / 'website' / 'page'),High,Yes,,,
Development,HTML Metadata & Validation,Metadata,Browser Audit,"Favicon (<link rel=""icon"">) present in <head>; Apple touch icon present where applicable",Medium,No,,,
Development,HTML Metadata & Validation,Metadata,Browser Audit,"Canonical URL (<link rel=""canonical"">) present on all indexable pages; href is absolute URL; no duplicate canonical tags per page",High,Yes,,,
Development,HTML Metadata & Validation,Metadata,Browser Audit,Alternate language annotations (hreflang) present for multilingual sites; each hreflang is valid BCP 47 tag; x-default fallback present,Medium,No,,,
Development,HTML Metadata & Validation,Metadata,Browser Audit,CSS <link> and <style> tags appear before <script> tags in <head> section; no JavaScript-only <script> inserted before stylesheet <link>,High,Yes,,,
Development,HTML Semantics & Structure,Structure,Browser Audit,"External links with target=""_blank"" include rel=""noopener noreferrer"" to prevent tab nabbing and referrer leakage",High,Yes,,,
Development,HTML Metadata & Validation,Validation,Browser Audit,Custom error pages for 404 and 5xx HTTP responses exist in source; error pages include site branding and navigation back to homepage,High,Yes,,,
Performance,Performance - Asset & Delivery,Assets,Browser Audit,Webfont files use WOFF2 as primary format with WOFF fallback; @font-face declarations include format() hints matching served file types,High,Yes,,,
Performance,Performance - Core Web Vitals,Web Vitals,Browser Audit,Lighthouse performance score >= 90 on desktop and >= 90 on mobile; run via Browser Audit Lighthouse panel (Audits tab) with device and throttling set appropriately,Critical,Yes,,,
Performance,Performance - Core Web Vitals,Web Vitals,Browser Audit,LCP (Largest Contentful Paint) < 2.5s; CLS (Cumulative Layout Shift) < 0.1; INP (Interaction to Next Paint) < 200ms; verify via Browser Audit Performance panel recording or Lighthouse Core Web Vitals section,Critical,Yes,,,
Performance,Performance - Core Web Vitals,Web Vitals,Browser Audit,No JavaScript long tasks (> 50ms) blocking the main thread during page load; Total Blocking Time (TBT) within budget; verify via Browser Audit Performance panel Main thread flame chart and Lighthouse TBT metric,High,Yes,,,
