Phase,Group,Sub-Group,Checklist Item,Importance,Mandatory,Audit Type,Implemented? (Yes / No / NA),Comments,Evidence
Development,HTML Semantics & Structure,Semantics,Semantic-to-div ratio above threshold; pages with >70% generic containers (div/span) flagged,Critical,Yes,Code Audit,,,
Development,HTML Forms & Inputs,Forms,Radio/checkbox groups wrapped in fieldset with legend; forms with 3+ related inputs have grouping,High,Yes,Code Audit,,,
Development,HTML Media & Data,Images,Accessible image role usage,Medium,No,Code Audit,,,
Development,CSS Architecture & Tokens,Maintainability,CSS readable without minification,Medium,No,Code Audit,,,
Development,Layout & Responsiveness,Stability,Avoid layout shift during load: all images and media have explicit width/height attributes or CSS aspect-ratio; font-display is set (swap/optional) in @font-face; no dynamic content inserted above the fold via JS on page load,Critical,Yes,Code Audit,,,
Development,Performance & Misc - CSS,Quality,No unused CSS selectors,High,Yes,Linting,,,
Development,JavaScript Architecture & Loading,Loading,Error messages follow consistent pattern (checked via regex); no raw string throws; error constants or error classes used,Medium,Yes,Code Audit,,,
Development,JavaScript DOM & Performance Safety,DOM,Modern ES6+ syntax used,Medium,Yes,Linting,,,
Development,JavaScript State & Reliability,Async,Avoid memory leaks,Critical,Yes,Code Audit,,,
Development,JavaScript Code Structure & Hygiene,Structure,No empty catch blocks,Medium,Yes,Linting,,,
Accessibility,Accessibility - WCAG Core,WCAG Core,WCAG 2.1 AA compliance met,Critical,Yes,Code Audit,,,
Accessibility,Accessibility - CSS,Visual,Visually-hidden patterns (.sr-only/.visually-hidden) use approved clip/position technique; no display:none or visibility:hidden on screen-reader-targeted text,Medium,Yes,Code Audit,,,
Security,Security - Client-Side Code,Scripts,No eval() or Function(string) usage,Critical,Yes,Code Audit,,,
Performance,Performance - Core Web Vitals,Web Vitals,No render-blocking resources,High,Yes,Code Audit,,,
Performance,Performance - Asset & Delivery,Assets,No excessive JS bundles,Medium,Yes,Build Config,,,
Development,Code Quality - Structure & Readability,Structure,README present; consistent file structure; average cyclomatic complexity below threshold; naming conventions consistent; JSDoc coverage above threshold,Medium,Yes,Code Audit,,,
Development,Code Quality - Errors & Reliability,Reliability,Duplicate code percentage within threshold,High,Yes,Code Audit,,,
Development,HTML Metadata & Validation,Validation,Custom error pages for 404 and 5xx HTTP responses exist in source; error pages include site branding and navigation back to homepage,High,Yes,Code Audit,,,
Development,JavaScript Code Structure & Hygiene,Structure,No unused component props passed from parent to child; unused prop detection via static analysis or TypeScript strict mode,Medium,No,Code Audit,,,
Process & Governance,GenAI Tools & Code Quality,Code Hygiene,No AI-generated placeholder comments detected (e.g. '// TODO: implement this'; '// Add your code here'; '// This function does X' without actual logic); boilerplate comment patterns from code-generation tools flagged via regex,High,Yes,Code Audit,,,
Process & Governance,GenAI Tools & Code Quality,Licensing,AI-generated code does not introduce copyleft license obligations; no verbatim code blocks matching GPL/AGPL-licensed open-source projects detected via code similarity scanning,High,Yes,Code Audit,,,
Performance,Performance - Core Web Vitals,Web Vitals,Lighthouse performance score >= 75 on desktop and >= 65 on mobile; run via Chrome DevTools Lighthouse panel (Audits tab) with device and throttling set appropriately,Critical,Yes,Chrome DevTools,,,
Performance,Performance - Core Web Vitals,Web Vitals,LCP (Largest Contentful Paint) < 2.5s; CLS (Cumulative Layout Shift) < 0.1; INP (Interaction to Next Paint) < 200ms; verify via Chrome DevTools Performance panel recording or Lighthouse Core Web Vitals section,Critical,Yes,Chrome DevTools,,,
Performance,Performance - Core Web Vitals,Web Vitals,No JavaScript long tasks (> 50ms) blocking the main thread during page load; Total Blocking Time (TBT) within budget; verify via Chrome DevTools Performance panel Main thread flame chart and Lighthouse TBT metric,High,Yes,Chrome DevTools,,,
Performance,Performance - Core Web Vitals,Web Vitals,Time to First Byte (TTFB) < 800ms measured in Chrome DevTools Network panel Timing tab; no excessive DNS lookup or TCP/TLS connection time in waterfall,High,Yes,Chrome DevTools,,,
Security,Security - HTTP Headers,Headers,Content-Security-Policy (CSP) response header present with restrictive policy; no 'unsafe-inline' or 'unsafe-eval' directives without nonce/hash; verify in Chrome DevTools Network panel Response Headers for the main document request,Critical,Yes,Chrome DevTools,,,
Development,Layout & Responsiveness,Responsive,Page layout tested at standard breakpoints using Chrome DevTools Device Toolbar responsive mode: 320px; 375px; 768px; 1024px; 1440px; no horizontal scrollbar at any mobile width; no content overflow or clipping detected,High,Yes,Chrome DevTools,,,
Accessibility,Accessibility - Components & Content,Components,Page content reflows at 400% zoom without loss of information or functionality; no horizontal scrollbar required at 1280px width zoomed to 400% (equivalent to 320 CSS px viewport); verify via Chrome DevTools Device Toolbar set to 320px width (WCAG 1.4.10),High,Yes,Chrome DevTools,,,
Security,Security - Network,Origins,No resources loaded from origins not listed in Content-Security-Policy; CSP violations visible in Chrome DevTools Console as 'Refused to load' messages; each violation indicates a policy misconfiguration or an unauthorized resource,Critical,Yes,Chrome DevTools,,,
